#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLE91241;The Price of Decadence;Le prix de la décadence;Der Preis der Dekadenz;;El precio de decadencia;;;;;;;;;x
EVTOPTA91217;I will teach you not to blink so much in my presence...;Je vais vous apprendre à cligner autant des yeux en ma présence !;Ich werde Euch beibringen, in meiner Anwesenheit nicht einmal zu blinzeln... ;;Os enseñaré a no parpadear tanto en mi presencia...;;;;;;;;;x
EVTOPTA91218;Allah (glorified and exalted be He) does not play dice.;Allah (qu'Il soit exalté) ne joue pas aux dés.;Allah (verherrlicht sei Er) würfelt nicht. ;;Alá (glorificado y exaltado sea) no juega a los dados.;;;;;;;;;x
EVTOPTA91219;I did it for you!;C'est pour vous que je le fais !;Ich habe es für Euch getan!;;¡Lo he hecho por vosotros!;;;;;;;;;x
EVTOPTA91220;There is so much to learn.;Il y a tant à apprendre.;Es gibt so viel zu lernen. ;;Hay tanto que aprender.;;;;;;;;;x
EVTOPTA91221;The world would be a better place.;Le monde serait un endroit meilleur.;Die Welt wäre ein besserer Ort.;;El mundo sería un lugar mejor.;;;;;;;;;x
EVTOPTA91222;Indulgence leads to weakness.;La complaisance mène à la faiblesse.;Genuss führt zu Schwäche. ;;La indulgencia conduce a la debilidad.;;;;;;;;;x
EVTOPTA91223;Every day the sun rises, charity is due on every joint of a person.;Chaque nouvelle journée doit être synonyme de charité envers les autres.;Jeden Tag eine gute Tat. ;;Cada vez que sale el sol, nos exige tener caridad con los demás.;;;;;;;;;x
EVTOPTA91224;I have never been afraid of a little hard work.;Le travail ne m'a jamais fait peur.;Ich habe mich noch nie vor ein wenig harter Arbeit gefürchtet. ;;Nunca he temido un poco de trabajo duro.;;;;;;;;;x
EVTOPTA91225;The carrot, not the stick.;La carotte est plus efficace que le bâton !;Zuckerbrot und Peitsche.;;Hay que dar la zanahoria, no el palo.;;;;;;;;;x
EVTOPTA91226;Great things come to those who wait.;Tout vient à point à qui sait attendre.;Großartige Dinge kommen zu denen, die warten. ;;Todo llega a quien sabe esperar.;;;;;;;;;x
EVTOPTA91227;I will not forget.;Je n'oublierai jamais.;Ich werde nichts vergessen.;;No olvidaré.;;;;;;;;;x
EVTOPTA91228;The truth is the truth.;Il n'y a qu'une seule vérité.;Die Wahrheit ist die Wahrheit.;;La verdad es la verdad.;;;;;;;;;x
EVTOPTA91229;Never give in to fear.;Il ne faut jamais céder à la peur.;Gib niemals der Angst nach.;;Nunca cedas al miedo.;;;;;;;;;x
EVTOPTA91230;Why settle for mediocrity?;Pourquoi se contenter de médiocrité ?;Weshalb sollte man sich mit dem Mittelmäßigen zufrieden geben?;;¿Por qué conformarse con la mediocridad?;;;;;;;;;x
EVTOPTA91231;Law should govern.;La loi est la base d'un gouvernement sain.;Das Gesetz sollte herrschen.;;La ley debe regir.;;;;;;;;;x
EVTOPTA91232;Laa ilaha ilallah!;Laa ilaha illallah !;Laa ilaha ilallah!;;¡Laa ilaha ilalah!;;;;;;;;;x
EVTOPTA91233;The best jihad is the one in which your horse is slain and your blood is spilled.;Le meilleur djihad est celui lors duquel votre cheval est tué et votre sang déversé.;Der beste Dschihad ist der, bei dem Euer Pferd getötet wird und Euer Blut spritzt.;;La mejor yihad es aquella en que tu caballo muere y se derrama tu sangre.;;;;;;;;;x
EVTOPTA91234;It was not easy.;Ça n'a pas été facile !;Es war nicht leicht.;;No fue fácil.;;;;;;;;;x
EVTOPTA91235;It was my duty.;Je n'ai fait que mon devoir.;Es war meine Aufgabe.;;Era mi deber.;;;;;;;;;x
EVTOPTA91240;Stay Loyal;Rester loyal;Bleibt Loyal;;Ser Leal;;;;;;;;;x
EVTOPTA91241;Bloated fools...;Quels imbéciles...;Aufgeblasene Narren ...;;Tontos hinchados…;;;;;;;;;x
EVTOPTA91300;Bah! Minstrel, play another song!;Ridicule ! Ménéstrel, une autre chanson !;Bäh! Barde, spiel ein anderes Lied!;;¡Ba! ¡Juglar, toca otra canción!;;;;;;;;;x
EVTOPTA91350;How rude! My life is my own.;Quelle insolence ! Ma vie m'appartient.;Wie unhöflich! Mein Leben gehört mir!;;¡Qué descortés! Mi vida es mía.;;;;;;;;;x
EVTOPTA91351;Invoke Takfir against [From.GetObjectPronoun]!;Invoquer le takfîr contre [From.GetLuiElle] !;Erklärt [From.GetObjectPronoun] zum Takfir!;;¡Proclamar Takfir contra [From.GetObjectPronoun]!;;;;;;;;;x
EVTOPTA91352;Good, House [Root.GetDynName] must stay pure!;Bien. La Maison de [Root.GetDynName] demeurera pure.;Gut, das Haus [Root.GetDynName] muss rein bleiben!;;¡Bien, la casa [Root.GetDynName] permanecerá pura!;;;;;;;;;x
EVTOPTA91355;I know I am weak. Too weak!;Je suis faible, je le sais bien. Trop faible !;Ich weiß, ich bin schwach. Zu schwach!;;¡Sé que soy débil, DEMASIADO!;;;;;;;;;x
EVTOPTA91360;Do I look like a believer?;J'ai vraiment l'air de croire à tout ça ?;Sehe ich aus wie ein Gläubiger?;;¿Parezco un creyente?;;;;;;;;;x
EVTOPTA91361;[From.GetSubjectPronounCap] makes me proud!;[From.GetIlElleCap] me remplit de fierté !;[From.GetSubjectPronounCap] macht mich stolz!;;¡Me enorgullezco de [From.GetSubjectPronoun]!;;;;;;;;;x
EVTOPTA91362;A pious choice!;Pieuse décision !;Eine fromme Wahl!;;¡Una elección piadosa!;;;;;;;;;x
EVTOPTA91363;There is hope for [From.GetObjectPronoun] yet!;Il y a encore de l'espoir pour [From.GetLuiElle] !;Es gibt noch Hoffnung für [From.GetObjectPronoun]!;;¡Aún hay esperanza para [From.GetObjectPronoun]!;;;;;;;;;x
EVTOPTA91365;[From.GetTitledFirstName] cannot scare me with theatrics!;[From.Get_Le_TitledFirstName] ne m'effraiera pas avec ses stratagèmes !;[From.GetTitledFirstName] kann mir keine Angst einjagen!;;¡[From.GetTitledFirstName] no me asustará con pantomimas!;;;;;;;;;x
EVTOPTA91368;Shameful! Good riddance.;Quelle honte ! Bon débarras.;Wie schändlich! Aber guter Abgang.;;¡Vergonzoso! Qué alivio.;;;;;;;;;x
EVTOPTA91369;A shoe on his head!;Une chaussure sur sa tête !;Ein Schuh auf seinem Kopf!;;Un zapato sobre su cabeza!;;;;;;;;;x
EVTOPTA91370;The ingrate!;Ingrat !;Undankbarer Mensch!;;Ingrato!;;;;;;;;;x
EVTOPTA91372;I could surely use such a eunuch!;J'aurais bien besoin d'un eunuque !;Ein solcher Eunuch käme wie gerufen!;;¡yo podría seguramente usar a tal eunuco!;;;;;;;;;x
EVTOPTA91373;Such a donation would surely please [From.Religion.GetRandomGodName].;[From.Religion.GetRandomGodName] ne sera sans doute pas contre ce don.;Eine solche Spende gefiele [From.Religion.GetRandomGodName] sicherlich.;;Tal donación complacería seguramente a [From.Religion.GetRandomGodName];;;;;;;;;x
EVTOPTA91374;I have fallen in love!;L'amour est venu me visiter !;Ich habe mich verliebt!;;¡Me he enamorado!;;;;;;;;;x
EVTOPTA91375;Everything for you, my love.;Tout ce que tu voudras, mon amour.;Natürlich, meine Liebe.;;Todo para ti, mi amor.;;;;;;;;;x
EVTOPTA91378;I guess I have no choice. I will try to please [From.GetTitledFirstName].;Je suppose que je n'ai pas le choix. Je vais essayer de [From.GetLeLa] satisfaire.;Vermutlich habe ich gar keine andere Wahl. Ich werde tun, was [From.GetTitledFirstName] von mir verlangt ...;;Supongo que no tengo otra opción. Trataré de complacer a [From.GetTitledFirstName].;;;;;;;;;x
EVTOPTA91379;[Root.Religion.GetHighGodName] must surely be pleased.;[Root.Religion.GetHighGodNameCap] sera sans doute satisfait.;[Root.Religion.GetHighGodName] wird sicher erfreut sein.;;[Root.Religion.GetHighGodName] seguramente debe estar complacido.;;;;;;;;;x

EVTOPTB91240;Freedom!;Liberté !;Freiheit!;;¡Libertad!;;;;;;;;;x
EVTOPTB91350;I will try, with the help of [Root.Religion.GetRandomGodName]!;Que [Root.Religion.GetRandomGodName] m'aide dans cette tâche !;Ich werde es versuchen, mit der Hilfe von [Root.Religion.GetRandomGodName]!;;¡Lo intentaré, con la ayuda de [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTB91351;I am a better negotiator than this!;Mes talents de négociateur valent mieux que cela !;Ich kann besser verhandeln!;;¡Soy mejor negociador que eso!;;;;;;;;;x
EVTOPTB91355;Though it's hard, I shall walk the narrow path.;J'emprunterai ce chemin étroit, même si c'est difficile.;Obschon es schwer ist, werde ich den Pfad der Tugend gehen.;;Aunque es duro, he de andar el camino acotado.;;;;;;;;;x
EVTOPTB91360;I must join the Bektashi!;Je dois rejoindre les Bektachis !;Ich werde den Bektashi beitreten!;;¡Me uniré a la Bektashi!;;;;;;;;;x
EVTOPTB91365;Maybe I had better shape up...;Je devrais peut-être me reprendre en main...;Vielleicht sollte ich mich bessern...;;Puede que lo mejor sea enderezarse...;;;;;;;;;x
EVTOPTB91374;This is clearly just an act!;Ce n'est qu'un subterfuge !;Bestimmt ist es bloß Schau!;;¡Esto es claramente justo un acto!;;;;;;;;;x

EVTOPTC91351;I must save [From.GetPossPronoun] soul from the fires of Jahannam!;Je dois épargner à son âme le brasier du Jahannam !;Ich muss [From.GetPossPronoun]e Seele vor den Feuern von Jahannam retten!;;¡Debo salvar [From.GetPossPronoun] alma de los fuegos de Yahannam!;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis]e Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTOPTC91360;I must join the Hashshashin!;Je dois rejoindre les Hashshâshîns !;Ich werde den Hashshashim beitreten!;;¡Debo unirme a los Nizaríes!;;;;;;;;;x
EVTOPTC91365;This is just too much. Life is not worth living!;Ça va vraiment trop loin. La vie ne vaut pas la peine d'être vécue !;Das ist zu viel! Das Leben ist nicht lebenswert!;;Esto es demasiado. ¡No merece la pena vivir!;;;;;;;;;x

EVTOPTD91351;Time to get... unconventional.;Essayons une méthode moins... conventionnelle.;Zeit, etwas ... Unkonventionelles zu probieren.;;Hora de volverse... imaginativo.;;;;;;;;;x
EVTOPTD91355;[Root.Religion.GetRandomGodName] will be pleased if I donate some gold.;[Root.Religion.GetRandomGodName] appréciera que je donne de l'or.;[Root.Religion.GetRandomGodName] wird über eine Goldspende erfreut sein.;;[Root.Religion.GetRandomGodName] estará contento si dono el oro;;;;;;;;;x
EVTOPTD91360;I must go on the Hajj to Mecca!;Je dois accomplir le hajj à La Mecque !;Ich werde auf Haddsch nach Mekka gehen!;;¡Debo ir en Hajj a la Meca!;;;;;;;;;x

EVTOPTE91351;It is time to call in that favor.;Il est temps de faire appel à cette faveur.;Es wird Zeit, die Gegenleistung einzufordern.;;Es hora de reclamar ese favor.;;;;;;;;;x
EVTOPTE91351_TOOLTIP;Force §Y[This.GetTitledFirstName]§! to give up his vices.\n;Forcer [This.Get_le_TitledFirstNameJ] à abandonner ses vices.\n;Zwingt §Y[This.GetTitledFirstName]§! dazu, seinen Lastern zu entsagen.\n;;Obliga §Y[This.GetTitledFirstName]§! a dejar sus vicios.\n;;;;;;;;;x
EVTOPTE91355;Maybe I can bring [From.GetHerHis] [From.Spouse.GetHusbandWife] over to my side.;Je peux probablement mettre s[From.Spouse.GetOnA] [From.Spouse.GetHusbandWife] de mon côté.;Vielleicht kann ich [From.GetHerHis]e[From.GetnMale] [From.Spouse.GetHusbandWife] auf meine Seite bringen.;;Tal fez puedo [From.GetHerHis] [From.Spouse.GetHusbandWife] a creed en mí.;;;;;;;;;x
EVTOPTE91360;I will donate money to charity!;Je dois donner de l'argent à une bonne oeuvre !;Ich werde wohltätig Geld spenden!;;¡Donaré dinero a la caridad!;;;;;;;;;x

EVTTOOLTIP91351;Tell [This.GetFirstName] to mind his own business!;Lui dire de s'occuper de ses affaires !;Sagt [This.GetFirstName], er soll sich um seine eigenen Angelegenheiten kümmern!;;¡Decir a [This.GetFirstName] que se meta en lo suyo!;;;;;;;;;x
EVTTOOLTIP91352;Promise [This.GetFirstName] to lead a righteous life!;Lui promettre de mener une vie vertueuse !;Versprecht [This.GetFirstName], ein rechtschaffenes Leben zu führen!;;¡Prometer a [This.GetFirstName] que llevarás una vida recta!;;;;;;;;;x
EVTTOOLTIP91355;Make a better attempt at convincing [This.GetFirstName];Tenter de mieux convaincre [This.GetFirstName];Versucht erneut, [This.GetFirstName] zu überzeugen;;Hacer un mejor intento de convencer a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91360;Present the best religious arguments to [This.GetFirstName];Présenter les meilleurs arguments religieux à [This.GetFirstName];Präsentiert [This.GetFirstName] religiöse Argumente;;Presentar los mejores argumentos religiosos a [This.GetFirstName];;;;;;;;;x
EVTTOOLTIP91365;Arrange for some nasty nighttime theatrics to scare [This.GetFirstName] in [From.GetPossPronoun] room;Préparer une mise en scène macabre dans la chambre de [This.GetFirstName] pour l'effrayer;Arrangiert ein unangenehmes nächtliches Schauspiel, um [This.GetFirstName] zu verängstigen;;Montar una pantomima nocturna para asustar a [This.GetFirstName] en su habitación;;;;;;;;;x
EVTTOOLTIP91374A;[Root.Spouse.GetName] is asked to leave [From.GetName] alone.;On a demandé à [Root.Spouse.GetName] de laisser [From.GetName] tranquille.;[Root.Spouse.GetName] wurde aufgetragen, [From.GetName] in Ruhe zu lassen.;;Se pide a [Root.Spouse.GetName] que deje en paz a [From.GetName].;;;;;;;;;x
EVTTOOLTIP91374B;[Root.Spouse.GetName] is informed about [From.GetName]s plans..;On a informé [Root.Spouse.GetName] des projets de [From.GetName].;[Root.Spouse.GetName] wurde über die Pläne von [From.GetName] informiert.;;Se informa a [Root.Spouse.GetName] de los planes de [From.GetName].;;;;;;;;;x
